id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_kasus_meninggal,satuan,tahun
492,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,3,ORANG,2023
493,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,12,ORANG,2023
494,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,9,ORANG,2023
495,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,4,ORANG,2023
496,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,2,ORANG,2023
497,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,0,ORANG,2023
498,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,0,ORANG,2023
499,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,0,ORANG,2023
500,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,2,ORANG,2023
501,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,1,ORANG,2023
502,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,5,ORANG,2023
503,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,2,ORANG,2023
504,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,3,ORANG,2023
505,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,1,ORANG,2023
506,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,1,ORANG,2023
507,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,0,ORANG,2023
508,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,1,ORANG,2023
509,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,3,ORANG,2023
510,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,1,ORANG,2023
511,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,2,ORANG,2023
512,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,5,ORANG,2023
